id,application_date,tot_claim_cnt_l180d,disb_bank_loan_wo_tbc,day_sinlastloan
2925440.0,2024-02-13 04:46:43.913000+00:00,4,700000000.0,6
2925441.0,2024-02-13 04:46:46.182000+00:00,-3,-1.0,-1
2925442.0,2024-02-13 04:46:43.913000+00:00,4,700000000.0,6
2925443.0,2024-02-13 04:47:28.550000+00:00,150,4348396530.0,159
2925444.0,2024-02-13 04:47:42.914000+00:00,-3,-1.0,-1
2925445.0,2024-02-13 04:48:14.541000+00:00,1,8150077272.0,281
2925446.0,2024-02-13 04:48:19.288000+00:00,-3,-1.0,-1
2925447.0,2024-02-13 04:48:14.541000+00:00,1,8150077272.0,281
2925448.0,2024-02-13 04:48:30.934000+00:00,-3,-1.0,-1
2925449.0,2024-02-13 04:48:42.392000+00:00,1,8150077272.0,281
2925450.0,2024-02-13 04:48:51.135000+00:00,-3,-1.0,-1
2925451.0,2024-02-13 04:48:42.392000+00:00,1,8150077272.0,281
2925452.0,2024-02-13 04:47:28.550000+00:00,150,4348396530.0,159
2925453.0,2024-02-13 04:49:18.909000+00:00,-3,-1.0,-1
2925454.0,2024-02-13 04:49:20.691000+00:00,-3,-1.0,-1
2925455.0,2024-02-13 04:49:21.261000+00:00,-3,-1.0,-1
2925456.0,2024-02-13 04:49:22.653000+00:00,4,1000000000.0,4
2925457.0,2024-02-13 04:49:27.749000+00:00,-3,-1.0,-1
2925458.0,2024-02-13 04:49:22.653000+00:00,4,1000000000.0,4
2925459.0,2024-02-13 04:49:38.938000+00:00,-3,-1.0,-1
2925460.0,2024-02-13 04:49:49.027000+00:00,4,1000000000.0,4
2925461.0,2024-02-13 04:49:50.802000+00:00,-3,-1.0,-1
2925462.0,2024-02-13 04:49:52.741000+00:00,3,-3.0,-3
2925463.0,2024-02-13 04:50:00.288000+00:00,-3,-1.0,-1
2925464.0,2024-02-13 04:50:00.491000+00:00,6,307403141.0,125
2925465.0,2024-02-13 04:50:01.966000+00:00,3,-3.0,-3
2925466.0,2024-02-13 04:49:49.027000+00:00,4,1000000000.0,4
2925467.0,2024-02-13 04:50:03.984000+00:00,-3,-1.0,-1
2925468.0,2024-02-13 04:49:52.741000+00:00,3,-3.0,-3
2925469.0,2024-02-13 04:50:11.415000+00:00,-3,-1.0,-1
2925470.0,2024-02-13 04:50:13.139000+00:00,-3,-1.0,-1
2925471.0,2024-02-13 04:50:13.503000+00:00,-3,-1.0,-1
2925472.0,2024-02-13 04:50:00.491000+00:00,6,307403141.0,125
2925473.0,2024-02-13 04:50:01.966000+00:00,3,-3.0,-3
2925474.0,2024-02-13 04:50:24.506000+00:00,-3,-1.0,-1
2925475.0,2024-02-13 04:50:24.940000+00:00,-3,-1.0,-1
